date,ivix_50,ivix_1000,spread_1000_50,ratio_1000_50,z_20_spread,z_60_spread,z_60_ivix_1000,d1_ivix_1000,d3_ivix_1000,csi1000_close,signal_panic_reversal,signal_spread_revert,signal_spread_revert_confirmed,regime_state,regime_equity_exposure
2023-12-20,18.96,19.44,0.4800000000000004,1.0253164556962024,-0.280020005304845,-0.6276427755744483,1.8556338237323515,0.1058020477815702,0.1058020477815702,5761.31,0,0,0,S1,50%
2023-12-21,18.04,19.44,1.400000000000002,1.0776053215077606,0.9966158955401276,0.6603597879213362,1.7714360404792768,0.0,0.0485436893203885,5798.91,0,0,0,S1,50%
2023-12-22,17.36,19.19,1.8300000000000016,1.105414746543779,1.5349385596462828,1.2318636869226331,1.493882784084208,-0.0128600823045267,0.091581342434585,5733.91,0,0,0,S0,20%
2023-12-25,16.77,19.31,2.539999999999999,1.1514609421586166,2.130191319108425,2.10131978618708,1.536931333096501,0.0062532569046376,-0.006687242798354,5735.73,0,0,0,S0,20%
2023-12-26,16.78,20.18,3.3999999999999986,1.202622169249106,2.489789050044425,2.9584102816860023,2.182459616099304,0.0450543759709995,0.0380658436213992,5651.59,0,0,0,S0,20%
2023-12-27,16.89,19.71,2.8200000000000003,1.16696269982238,1.6991988414034287,2.1095948935788504,1.7114032616164585,-0.0232903865213082,0.0270974465867639,5696.16,0,0,0,S0,20%
2023-12-28,17.6,19.71,2.1099999999999994,1.1198863636363636,1.009507653316203,1.2155546962945851,1.6399289124448249,0.0,0.0207146556188504,5805.53,0,1,1,S0,20%
2023-12-29,15.9229071,17.87,1.9470929000000008,1.1222825007878117,0.8107019320905172,0.9908057652509502,0.1492367679139211,-0.0933536276002029,-0.114469772051536,5887.24,0,1,1,S1,50%
2024-01-02,16.32,18.04,1.7199999999999989,1.105392156862745,0.5789266791295914,0.6944140171660669,0.2721470951914,0.009513150531617,-0.084728564180619,5854.75,0,0,0,S1,50%
2024-01-03,16.32,17.96,1.6400000000000006,1.1004901960784317,0.4544484261088453,0.57702301838745,0.1910059887605577,-0.0044345898004433,-0.0887874175545408,5824.04,0,0,0,S1,50%
2024-01-04,16.6,18.52,1.9199999999999984,1.1156626506024094,0.6379630011116432,0.8852745775406569,0.6205280540084949,0.0311804008908684,0.0363738108561835,5783.02,0,0,0,S0,20%
2024-01-05,17.12,19.26,2.140000000000001,1.125,0.7603234765757702,1.1137444096222,1.196510971151913,0.0399568034557236,0.0676274944567629,5675.81,0,0,0,S0,20%
2024-01-08,16.89,19.71,2.8200000000000003,1.16696269982238,1.2097506497370878,1.860798905235072,1.5333178161483016,0.0233644859813084,0.0974387527839644,5543.57,0,0,0,S0,20%
2024-01-09,18.46,20.48,2.02,1.1094257854821234,0.5069996199233252,0.8747108305970871,2.0763286166358133,0.0390664637239979,0.1058315334773218,5553.3,0,0,0,S0,20%
2024-01-10,19.0,20.48,1.4800000000000004,1.0778947368421052,0.0340864613016125,0.2006816561977932,1.9801456737920395,0.0,0.063343717549325,5512.07,0,0,0,S1,50%
2024-01-11,18.27,21.46,3.1900000000000013,1.1746031746031746,1.2929880004078569,2.164946687770743,2.568230025813468,0.0478515625,0.0887874175545408,5611.11,0,0,0,S0,20%
2024-01-12,18.25,20.89,2.640000000000001,1.1446575342465757,0.7634333663284805,1.460895172148497,2.0316937854977164,-0.026561043802423,0.02001953125,5574.49,0,0,0,S0,20%
